track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Paris,Taylor Swift,7712gjoih4QoDbXpljEk21,0.7,0.509,7,-10.547,1,0.0789,0.112,3.27e-05,0.137,0.345,110.947
High Infidelity,Taylor Swift,5kiZGSxgqPdv6rbqL9THdd,0.646,0.529,10,-10.179,1,0.0864,0.723,0.0,0.0885,0.755,87.862
Glitch,Taylor Swift,6wAFvJPpTZVirBKGZ4EnMW,0.675,0.466,11,-9.738,0,0.201,0.361,0.0,0.11,0.347,140.864
"Would've, Could've, Should've",Taylor Swift,0aV5uARAknQgYhBaK944FP,0.483,0.84,7,-6.508,1,0.119,0.43,0.000575,0.146,0.55,157.979
Dear Reader,Taylor Swift,3QF5RsWzK1lCvf2o2cY65P,0.562,0.388,0,-12.088,1,0.0705,0.481,0.00145,0.117,0.159,107.747
Lavender Haze,Taylor Swift,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985
Maroon,Taylor Swift,3eX0NZfLtGzoLUxPNvRfqm,0.637,0.398,7,-8.294,1,0.0564,0.0573,1.03e-06,0.101,0.0374,108.075
Anti-Hero,Taylor Swift,0V3wPSX9ygBnCm8psDIegu,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,97.008
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,1wtOxkiel43cVs0Yux5Q4h,0.663,0.319,9,-13.481,1,0.0375,0.69,0.000993,0.117,0.193,109.957
"You're On Your Own, Kid",Taylor Swift,4D7BCuvgdJlYvlX5WlN54t,0.696,0.396,2,-10.289,1,0.0656,0.401,5.2e-06,0.125,0.38,120.041
Midnight Rain,Taylor Swift,3rWDp9tBPQR9z6U5YyRSK4,0.643,0.363,0,-11.738,1,0.0767,0.69,5.17e-05,0.115,0.23,139.865
Question...?,Taylor Swift,0heeNYlwOGuUSe7TgUD27B,0.751,0.502,7,-8.763,1,0.167,0.2,0.0,0.296,0.106,108.943
Vigilante Shit,Taylor Swift,1xwAWUI6Dj0WGC3KiUPN0O,0.798,0.277,4,-11.096,0,0.39,0.173,5.25e-05,0.121,0.163,79.846
Bejeweled,Taylor Swift,3qoftcUZaUOncvIYjFSPdE,0.696,0.559,7,-9.19,1,0.0693,0.0618,5.58e-05,0.0887,0.433,163.999
Labyrinth,Taylor Swift,0A1JLUlkZkp2EFrosoNQi0,0.406,0.306,0,-15.48,1,0.0517,0.785,0.488,0.122,0.122,110.014
Karma,Taylor Swift,7KokYm8cMIXCsGVmUvKtqf,0.642,0.62,8,-7.091,1,0.0666,0.0734,0.0,0.483,0.0969,90.02
Sweet Nothing,Taylor Swift,0wavGRldH0AWyu2zvTz8zb,0.337,0.156,0,-14.919,1,0.0518,0.964,7.72e-05,0.115,0.39,176.655
Mastermind,Taylor Swift,7FmYn9e7KHMXcxqGSj9LjH,0.662,0.357,4,-14.064,1,0.154,0.553,0.00129,0.0837,0.124,125.966
State Of Grace (Taylor's Version),Taylor Swift,6lzc0Al0zfZOIFsFvBS1ki,0.594,0.713,9,-5.314,1,0.0503,0.000328,0.0,0.114,0.328,129.958
Red (Taylor's Version),Taylor Swift,4OAuvHryIVv4kMDNSLuPt6,0.516,0.777,1,-4.908,0,0.0375,0.00108,1.62e-06,0.0761,0.408,125.047
Treacherous (Taylor's Version),Taylor Swift,3S7HNKPakdwNEBFIVTL6dZ,0.645,0.593,2,-6.506,1,0.0288,0.0344,0.000127,0.13,0.299,109.984
I Knew You Were Trouble (Taylor's Version),Taylor Swift,6AtZLIzUINvExIUy4QhdjP,0.584,0.557,6,-6.371,1,0.0342,0.0129,0.0,0.0576,0.767,154.008
