track,artist,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
"The Man, The Legend / Touchdown",Harold Faltermeyer,3vPFtJIPNknOiMK7IcBtzn,0.237,0.436,7,-11.845,1,0.0315,0.25,0.932,0.142,0.05,152.238
Penny Returns - Interlude,Harold Faltermeyer,0hGL3mxCQJB5l64LsWcSN5,0.168,0.0184,7,-27.194,1,0.0414,0.871,0.934,0.0863,0.0327,112.285
Hold My Hand,Lady Gaga,1c2hJSwcCfoPEw1su83Sw0,0.53,0.612,7,-4.286,1,0.0331,0.0403,0.0,0.393,0.264,148.009
Top Gun Anthem,Harold Faltermeyer,1ZkmPku85veww4fF66aUFF,0.448,0.336,2,-13.124,1,0.0322,0.00145,0.838,0.0661,0.0364,107.351
Horizon - from One Night In Malibu,OneRepublic,2B4u4howohJ8kbkWcbuAUM,0.438,0.152,8,-23.868,1,0.0768,0.861,0.0689,0.105,0.138,132.146
Distance - from One Night In Malibu,OneRepublic,2gPWnjEtKZaCcEXRlH9yT4,0.558,0.665,8,-9.693,1,0.0395,0.151,5.75e-05,0.098,0.639,150.928
Take Care Of You - from One Night In Malibu,OneRepublic,5ngFtRMAHVwCczceA9tUQD,0.579,0.594,0,-9.817,1,0.0358,0.0703,1.49e-05,0.12,0.307,98.05
Good Life - from One Night In Malibu,OneRepublic,0qdpBSgdFsOPGv9QLxEjdu,0.686,0.663,6,-8.751,1,0.0415,0.0176,0.0,0.0713,0.599,94.991
Rescue Me - from One Night In Malibu,OneRepublic,5tzvqXAnA3WfPd1PcZgxSX,0.695,0.554,11,-9.819,0,0.0449,0.616,0.000192,0.099,0.395,120.996
Secrets - from One Night In Malibu,OneRepublic,18kUq9I5PGlJcB36dMhcOy,0.606,0.731,2,-8.769,1,0.0378,0.114,6.51e-05,0.0906,0.348,147.896
Wanted - from One Night In Malibu,OneRepublic,0LoY54m9XFnSaSxeQZEI00,0.678,0.528,1,-11.071,1,0.0779,0.226,0.0,0.0695,0.676,145.833
Lose Somebody - from One Night In Malibu,OneRepublic,27tjAlOAJbhdEMLXhFqnxj,0.589,0.437,1,-10.377,1,0.0352,0.774,0.0,0.0922,0.659,147.846
Better Days - from One Night In Malibu,OneRepublic,5mmxExsbydcTmXfs2fSDBk,0.367,0.462,2,-11.359,0,0.0401,0.571,0.000128,0.0624,0.12,177.826
Run - From One Night In Malibu,OneRepublic,3v5dEeN8mrw8XFq3wnGL1H,0.778,0.626,11,-10.126,0,0.0478,0.449,1.55e-05,0.0848,0.67,117.005
I Lived - from One Night In Malibu,OneRepublic,6Eid9fMZCjDm65gotziFAh,0.371,0.41,2,-10.632,1,0.0368,0.136,0.000114,0.0923,0.151,119.969
Someday - from One Night In Malibu,OneRepublic,0Fh0kfS6IBEilmHaiDNahG,0.567,0.559,0,-10.302,1,0.0339,0.0957,0.000121,0.154,0.199,120.903
Ships + Tides - from One Night In Malibu,OneRepublic,5ID6Vqa2LDhrezdhNzQFbX,0.261,0.186,7,-13.463,1,0.0305,0.815,0.00235,0.101,0.11,138.221
Apologize - from One Night In Malibu,OneRepublic,2yt0Pcxf88XnbMOQVLu0MV,0.686,0.504,0,-10.063,0,0.0268,0.083,0.00193,0.136,0.167,118.008
Love Runs Out - from One Night In Malibu,OneRepublic,35zUCwNjhCK9Azdt9TRlYU,0.678,0.836,0,-7.633,0,0.0309,0.0627,0.000186,0.117,0.786,120.033
Counting Stars - from One Night In Malibu,OneRepublic,5JaPbIWYgYoA5Hhl5FdujT,0.662,0.644,1,-9.454,0,0.0395,0.0667,2.6e-06,0.0796,0.475,121.993
Wild Life - from One Night In Malibu,OneRepublic,6bodwiB48M5lD9cIOOwF0i,0.547,0.736,2,-10.484,1,0.0309,0.0069,0.0172,0.131,0.166,115.982
Run,OneRepublic,6KL88T4Ma4ABXqzgUoEwkd,0.682,0.72,11,-8.176,0,0.0382,0.321,0.0,0.205,0.649,116.988
Distance,OneRepublic,2l3gQ8Zv1KlGqyE6B4ntPC,0.611,0.766,8,-5.686,1,0.0634,0.112,7.13e-06,0.195,0.713,150.956
Someday,OneRepublic,6aDsgHPZsMztSbZernzlF8,0.576,0.679,0,-7.237,1,0.034,0.0311,0.0,0.323,0.213,121.005
Didn't I,OneRepublic,2IpeTEPICyB66jjg2hU4Vg,0.611,0.61,4,-6.745,1,0.0314,0.0186,0.0,0.125,0.242,123.943
Rescue Me,OneRepublic,37LNNQNbL1YLyutBG6aWRx,0.761,0.606,11,-7.742,0,0.0424,0.157,0.0,0.574,0.646,121.038
Savior,OneRepublic,4VhR9r9zgzikeruUScgj8A,0.59,0.583,9,-6.985,0,0.0309,0.016,8.49e-05,0.0703,0.234,92.995
Take Care Of You,OneRepublic,2ExaKO7GhafvrUHOjWxjgC,0.461,0.704,0,-6.451,1,0.0377,0.00788,8.88e-06,0.148,0.25,98.539
Forgot About You,OneRepublic,73xYQWRzImNfVHhz0x9ETV,0.793,0.627,1,-5.689,1,0.0528,0.318,0.0,0.0696,0.544,142.91
Somebody To Love,OneRepublic,2z8S9ARUXOXWT9h0PdF4yP,0.401,0.503,2,-8.084,1,0.0439,0.0158,0.0,0.134,0.236,118.486
Wanted,OneRepublic,3fT6xqEkC1jm4mHjOyXbKw,0.665,0.539,1,-6.613,1,0.0699,0.165,0.0,0.0912,0.666,145.828
Take It Out On Me,OneRepublic,7lISY14A9I1w3m7to2kWv1,0.437,0.314,4,-8.007,1,0.0372,0.81,0.0,0.116,0.13,119.888
Better Days,OneRepublic,2SLxgJ2YFohfd8KwuJZTUE,0.618,0.725,5,-4.952,1,0.0479,0.255,0.0,0.424,0.242,88.982
Wild Life,OneRepublic,4zD9RBG51Lj8bnQwolLnyu,0.479,0.762,2,-7.86,1,0.0378,0.00711,0.011,0.0965,0.0519,115.956
Ships + Tides,OneRepublic,0GUncXNah8KoaErnDd7H1L,0.242,0.354,7,-8.783,1,0.0299,0.768,0.0234,0.117,0.183,135.852
Someday - Acoustic,OneRepublic,5CJQMw0y824OWaQJSlszY5,0.575,0.494,0,-7.487,1,0.0297,0.565,0.0,0.156,0.207,120.998
Lose Somebody,OneRepublic,5JAQXve1J0iUpslwMI3J7C,0.582,0.589,1,-6.871,1,0.0355,0.347,0.0,0.0755,0.495,147.992
Let's Hurt Tonight,OneRepublic,2iZXMKa6Q4GBngBuRWtUtm,0.359,0.713,5,-4.526,1,0.0366,0.33,0.0,0.303,0.272,61.519
Future Looks Good,OneRepublic,4O0UPAGXfeAK8vM4OUEBFD,0.331,0.545,10,-7.963,1,0.0374,0.196,9.18e-06,0.121,0.586,77.394
Oh My My,OneRepublic,6D6vEVEFVFgctwocglYBLa,0.744,0.675,4,-5.292,0,0.0944,0.0855,0.0028,0.0662,0.665,115.013
Kids,OneRepublic,4IG7IRfkbeLBGaQLGWwNPS,0.596,0.739,2,-6.192,1,0.0398,0.0175,0.0,0.309,0.217,100.003
Dream,OneRepublic,3VRlGstWC0t6Ud5zHNVMub,0.756,0.644,11,-6.116,0,0.0482,0.182,0.000158,0.127,0.539,104.985
Choke,OneRepublic,5kByEMxRl16QyWFd1VfKzM,0.579,0.625,4,-6.289,0,0.0357,0.301,0.0,0.116,0.308,92.061
A.I.,OneRepublic,2xB6w6kDh6tDysIaxCnQiI,0.706,0.664,4,-7.25,0,0.0433,0.073,0.163,0.116,0.244,118.002
Better,OneRepublic,11UEWCFpS2gs8DC133vXdT,0.709,0.652,5,-5.163,1,0.0524,0.0445,0.0,0.559,0.528,135.977
Born,OneRepublic,0MR3iEiHV5AF8O0iAB84gY,0.372,0.842,7,-5.311,0,0.0483,0.058,6.17e-06,0.328,0.199,94.996
Fingertips,OneRepublic,4CiJAAlUyHFOW4FeiPttvZ,0.504,0.286,0,-11.958,1,0.0338,0.886,5.5e-05,0.0934,0.0422,92.038
Human,OneRepublic,0nLTye6Iw0ufAxzwbAwzlk,0.59,0.914,5,-6.655,0,0.272,0.0785,8.34e-06,0.114,0.308,140.12
Lift Me Up,OneRepublic,5mmYqGHaeew6uLxJi5TESh,0.687,0.827,3,-6.109,0,0.0301,0.0102,0.0,0.0773,0.709,115.0
NbHD,OneRepublic,41kNXS7D4qIpWK4THCnAOR,0.551,0.794,1,-5.43,0,0.0474,0.00127,1.53e-06,0.658,0.381,97.003
Wherever I Go,OneRepublic,46jLy47W8rkf8rEX04gMKB,0.552,0.689,10,-6.444,0,0.0425,0.0915,0.0,0.27,0.349,99.961
All These Things,OneRepublic,6OKtVfaZ6G0xSbYHh2BfRo,0.585,0.64,5,-6.528,1,0.0413,0.0274,8.28e-06,0.393,0.296,151.951
Heaven,OneRepublic,2PyO0OpZ4tR8xbhzzZs2Ug,0.392,0.727,10,-6.67,0,0.0484,0.0471,0.0,0.104,0.301,126.762
Colors,OneRepublic,2UyZTPrWFSMysY9cVVjmaB,0.705,0.664,10,-6.093,1,0.0302,0.452,0.00552,0.0759,0.588,140.059
The Less I Know,OneRepublic,0zDu21d7aHrScpTHXRddNr,0.715,0.631,1,-7.235,0,0.0334,0.5,0.000827,0.0992,0.716,122.024
Heaven - Acoustic,OneRepublic,0IcL9jPFBst0l7vUcuYVH3,0.429,0.526,1,-7.92,1,0.0312,0.506,0.0,0.0684,0.349,126.835
Better - String Version,OneRepublic,1CSjnpL63KuOa0VnF6T3uS,0.77,0.399,9,-7.756,0,0.0375,0.412,1.58e-05,0.712,0.608,135.974
Let's Hurt Tonight,OneRepublic,05sCp83gcMm1iecYydKJS3,0.359,0.713,5,-4.526,1,0.0366,0.33,0.0,0.324,0.272,61.519
Future Looks Good,OneRepublic,2JATE4qxTuVgKEKe12sqLp,0.33,0.548,10,-7.922,1,0.0426,0.214,1.21e-05,0.12,0.559,78.594
Oh My My,OneRepublic,0QaCNjtdot0XiD8E347iQn,0.74,0.673,4,-5.284,0,0.1,0.0783,0.00244,0.0628,0.719,115.016
Kids,OneRepublic,5mQNY6pTeSDl2doFB7uLbE,0.596,0.732,2,-6.189,1,0.0401,0.0153,0.0,0.318,0.228,99.98
Dream,OneRepublic,7kAykEQsPsC67ML8qQmOSW,0.756,0.64,11,-6.093,0,0.0498,0.189,0.000141,0.132,0.553,104.993
Choke,OneRepublic,5xtliWYBVT4cKo9BtBn43B,0.582,0.607,4,-6.397,0,0.0346,0.302,0.0,0.116,0.263,92.021
A.I.,OneRepublic,5xRcy8i64lENBk48rOe7K8,0.705,0.668,4,-7.279,0,0.0432,0.0744,0.215,0.114,0.261,118.007
Better,OneRepublic,5oLP3yTZ7oQlRJ8bSCWvzN,0.713,0.645,5,-5.121,1,0.0524,0.0305,1.2e-06,0.545,0.557,135.98
Born,OneRepublic,797fEwjPjyNhkoQCHDkzne,0.251,0.843,7,-5.318,0,0.055,0.0715,3.99e-06,0.361,0.211,93.102
Fingertips,OneRepublic,7FQgwxkgClQLTwEilUlscr,0.357,0.281,9,-11.982,0,0.0417,0.901,3.53e-05,0.0927,0.0507,130.857
Human,OneRepublic,5NbplIIyJnnAPrUWeJAbQ4,0.587,0.913,5,-6.685,0,0.248,0.138,2.71e-06,0.108,0.313,140.067
Lift Me Up,OneRepublic,0x7oCog91UWqiYJQEee3uK,0.69,0.84,3,-6.104,0,0.0307,0.0107,0.0,0.0785,0.701,115.0
NbHD,OneRepublic,6zsFCfP4TK2J48tMYjb668,0.547,0.804,1,-5.413,0,0.0424,0.0011,2.54e-06,0.687,0.343,97.005
Wherever I Go,OneRepublic,7kftK4n15rl1wbpfjSq2Tk,0.54,0.675,10,-6.449,0,0.0429,0.1,0.0,0.237,0.348,99.97
All These Things,OneRepublic,5SlNjNaibdMLveJPYqAAaE,0.584,0.654,5,-6.485,1,0.0361,0.0247,1.48e-05,0.434,0.287,151.916
Heaven,OneRepublic,1lFHaHvZeLf6XrOqX6iLlS,0.585,0.724,10,-6.658,0,0.0321,0.0607,0.0,0.105,0.37,95.009
Counting Stars,OneRepublic,1QzFhzIOW7CyRJLpmq5CM0,0.663,0.705,1,-4.972,0,0.0385,0.0654,0.0,0.117,0.477,122.014
Love Runs Out,OneRepublic,3cOO5IQtOYs7huq4Z6lYfr,0.715,0.931,7,-3.793,1,0.0565,0.171,0.0,0.0757,0.742,120.025
If I Lose Myself,OneRepublic,0ett0qCHbl0vdSRFhRSkMc,0.485,0.699,2,-6.017,1,0.0479,0.096,0.0,0.109,0.242,140.096
Feel Again - With Heartbeats,OneRepublic,45snfGBgpEPQnS1DjspBYn,0.465,0.828,7,-8.019,0,0.0553,0.0218,0.0,0.119,0.288,139.978
What You Wanted,OneRepublic,3AxdtInY3maTDl3PnoXRrp,0.552,0.852,0,-7.413,1,0.0399,0.0023,0.204,0.108,0.203,120.004
I Lived,OneRepublic,2QAHN4C4M8D8E8eiQvQW6a,0.595,0.858,9,-5.393,1,0.0446,0.0828,0.0,0.234,0.32,119.991
Light It Up,OneRepublic,4QZ5K3oYus1aAscMUygx91,0.454,0.934,9,-5.614,1,0.125,0.026,0.153,0.239,0.31,139.946
Can’t Stop,OneRepublic,7wquxAqNepIlz6OibvQoSm,0.633,0.727,5,-5.766,1,0.0302,0.0947,0.000173,0.113,0.29,89.985
Au Revoir,OneRepublic,7o2358n8gXUn6wAI6WgJwz,0.524,0.536,2,-9.424,1,0.0287,0.91,0.37,0.123,0.119,117.06
Burning Bridges,OneRepublic,7kKmOUzPO4rRiu27H1DVgn,0.576,0.738,1,-5.296,1,0.0264,0.0604,0.0,0.0807,0.263,97.981
Something I Need,OneRepublic,6t1F0FTlVHAw6kEe164SsL,0.683,0.595,7,-6.92,1,0.0313,0.154,0.0,0.225,0.632,98.969
Preacher,OneRepublic,41K3poIS8fGbmuEebmthZ4,0.475,0.689,1,-4.219,1,0.0286,0.1,0.0,0.267,0.363,140.047
Don't Look Down,OneRepublic,5RFob2Cs3E0VxBMkp8KGhW,0.292,0.448,2,-11.729,1,0.0403,0.0356,0.892,0.23,0.0517,114.695
Something's Gotta Give,OneRepublic,2y46vI6iNKI6LteqOFsKaV,0.567,0.521,2,-8.051,1,0.0293,0.00445,0.000193,0.0499,0.265,80.005
Life In Color,OneRepublic,1MYvRetU8Z4OyITvXwbdfK,0.417,0.904,9,-3.484,1,0.0642,0.000622,0.0,0.0815,0.356,126.867
If I Lose Myself - Acoustic,OneRepublic,5QPg2mhf4lXe53bj4hhuO7,0.537,0.618,2,-7.996,1,0.0284,0.693,0.0,0.133,0.59,139.956
What You Wanted - Acoustic,OneRepublic,5PyIglAIskDKWPwwLI5GO4,0.637,0.676,9,-8.397,0,0.0317,0.641,0.00654,0.0922,0.388,119.961
Burning Bridges - Acoustic,OneRepublic,1V67g4o5LyRWJziAbJzP7b,0.401,0.433,1,-8.859,1,0.027,0.364,2.18e-06,0.0824,0.211,97.611
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,3ScJy88F8KqGDfWu8XJhHx,0.519,0.754,2,-5.689,1,0.0402,0.258,3.75e-06,0.139,0.16,125.975
Made For You,OneRepublic,1uRQzm3P0nRGnSfnuzMTpq,0.64,0.555,7,-10.204,1,0.0411,0.14,0.0192,0.0981,0.395,122.038
All The Right Moves,OneRepublic,5XRHGXut00SrJUFmcn2lQF,0.529,0.948,0,-3.527,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024
Secrets,OneRepublic,1NhPKVLsHhFUHIOZ32QnS2,0.516,0.764,2,-6.223,1,0.0366,0.0717,0.0,0.115,0.376,148.021
Everybody Loves Me,OneRepublic,0Q0Vl9fKJF5MDxfVKbD78e,0.578,0.907,4,-4.869,1,0.0895,0.0229,0.0,0.557,0.66,170.04
Missing Persons 1 & 2,OneRepublic,0PtU7G83PFe3apGJSVhMJp,0.269,0.443,0,-12.359,1,0.0388,0.491,0.00169,0.093,0.087,164.877
Good Life,OneRepublic,6OtCIsQZ64Vs1EbzztvAv4,0.634,0.69,6,-7.804,1,0.052,0.0771,0.0,0.132,0.645,94.988
All This Time,OneRepublic,3jBZ215eVz9qwazMIQNSOO,0.413,0.374,0,-10.744,1,0.0321,0.433,0.0,0.111,0.105,144.93
Fear,OneRepublic,0sQ21u4HJkZbbEYc3xiVeS,0.541,0.556,7,-11.523,1,0.0255,0.383,0.707,0.107,0.473,110.046
Waking Up,OneRepublic,1GQO5U0Sx74BUoH1faCUWC,0.171,0.564,6,-6.936,1,0.0312,0.0551,0.0205,0.188,0.0618,133.993
Marchin On,OneRepublic,4BUtvtGTRvJB49Hx2F7lle,0.508,0.807,11,-8.581,1,0.0686,0.333,0.00363,0.136,0.306,123.034
Lullaby,OneRepublic,1QijFEB8TfVgDHdBqPczo6,0.247,0.362,9,-15.358,1,0.0334,0.73,0.133,0.0973,0.149,140.081
Made For You,OneRepublic,75DCJ8rDhn9b47DR9IKqYJ,0.637,0.557,7,-10.196,1,0.041,0.137,0.0201,0.0977,0.4,122.044
All The Right Moves,OneRepublic,5O9OqGQBPbYFkqh6nXzgZb,0.528,0.948,0,-3.522,1,0.0475,0.259,1e-05,0.283,0.651,146.036
Secrets,OneRepublic,0tgnTzjIkj8mVVEh0SNH0t,0.516,0.762,2,-6.224,1,0.0361,0.0734,0.0,0.116,0.382,148.018
Everybody Loves Me,OneRepublic,6aXer8R9oyReXmjzpq73oR,0.575,0.899,4,-5.749,1,0.0847,0.0509,0.0,0.0902,0.668,170.12
Missing Persons 1 & 2,OneRepublic,7z7PtlWOgaKfS8nBdaVm8n,0.269,0.445,0,-12.359,1,0.0408,0.498,0.00129,0.246,0.0788,164.908
Good Life,OneRepublic,5FbfPxWMDM3yEnNUJS0HLQ,0.635,0.692,6,-7.791,1,0.0515,0.0804,0.0,0.124,0.68,94.989
All This Time,OneRepublic,2ngdaQ4fGcvKJOa7M3Grf7,0.529,0.504,0,-8.807,1,0.0435,0.0381,2.45e-06,0.156,0.359,144.931
Fear,OneRepublic,2ms6WgC3WCGkPyVkertlzr,0.543,0.564,7,-11.541,1,0.0254,0.336,0.741,0.108,0.442,110.04
Waking Up,OneRepublic,2xqAQf13o3UONNMoVw5WnU,0.185,0.554,6,-6.939,1,0.034,0.0494,0.0118,0.168,0.0582,120.034
Marchin On,OneRepublic,7xXzrsVZqbzE5yDfArysnE,0.505,0.821,11,-8.57,1,0.0729,0.37,0.0063,0.127,0.341,123.044
Lullaby,OneRepublic,4bDWAzaeJCKUwEdeU9TrUs,0.26,0.369,9,-15.38,1,0.0341,0.715,0.131,0.0971,0.159,140.034
Sleep,OneRepublic,1ScNnI2IU12csZu6Szx1QZ,0.22,0.681,2,-5.517,0,0.037,0.0319,0.000404,0.423,0.116,100.051
Shout - Live In Glasgow,OneRepublic,4PVKld0kvcKIifVZLILP2m,0.221,0.872,5,-5.05,1,0.0712,0.0632,2.77e-06,0.697,0.0647,97.827
Passenger,OneRepublic,34L1fmpUFOeU8KgYG11I43,0.487,0.672,6,-6.506,1,0.0304,0.121,3.3e-05,0.109,0.2,126.089
It's A Shame,OneRepublic,1lTX08J8FPkjwvQtWJeC1F,0.396,0.671,9,-6.347,1,0.0311,0.0356,0.0,0.0933,0.286,164.023
Trap Door,OneRepublic,6jkGTUFnFqkrZ9u9NaqJ0J,0.345,0.866,9,-4.688,1,0.0494,0.103,0.0,0.154,0.576,153.95
Sucker Punch,OneRepublic,2ekgO0anuwqS7VuzdNvgcT,0.436,0.844,4,-5.149,0,0.0519,0.29,2.45e-06,0.166,0.252,140.966
Say (All I Need),OneRepublic,7llO3oFv7BS1a0ZFDqYeIl,0.548,0.742,9,-5.741,1,0.0498,0.0184,0.0,0.153,0.31,122.007
Mercy,OneRepublic,3zol0ettwTIUYLewzrwJqG,0.471,0.849,11,-5.563,1,0.0713,0.015,0.0,0.109,0.196,116.404
Stop And Stare,OneRepublic,5Z0NSQVSXBlgqhqlMFPsZS,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474
Apologize,OneRepublic,428lSKYV9R5f5d4XGOeniY,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
"Goodbye, Apathy",OneRepublic,6osQMgEvbMmC6RPvmUS7WS,0.48,0.719,9,-8.216,1,0.0295,0.119,0.000337,0.078,0.179,150.064
All Fall Down,OneRepublic,3x0rZYgOVneVS0zdKmBmGa,0.502,0.816,7,-4.826,1,0.03,0.241,0.0,0.107,0.419,92.512
Tyrant,OneRepublic,6eYsDblSLeXFkpWf5Tjqwf,0.373,0.902,11,-4.459,0,0.0392,0.113,1.32e-05,0.102,0.268,145.147
Prodigal,OneRepublic,3T0SHo6M9kJ1IWZZmUqa9s,0.181,0.488,2,-6.485,1,0.0328,0.567,1.1e-06,0.125,0.221,179.502
Won't Stop,OneRepublic,1c6BwDNNLUhOSrh9PoffGo,0.384,0.568,6,-7.009,0,0.0278,0.379,0.0,0.122,0.3,91.96
All We Are,OneRepublic,0kNUTrv6PWLX5iYoFnExyU,0.397,0.817,2,-5.495,1,0.042,0.0966,8.16e-06,0.316,0.416,158.004
Someone To Save You,OneRepublic,2nLm08kPqCsiQxRyjfL7zE,0.315,0.824,9,-4.143,1,0.0336,0.0309,0.0,0.2,0.692,174.01
Come Home,OneRepublic,1Zd9m5D3NFP7N20HVtkoAB,0.521,0.155,0,-12.147,1,0.0286,0.947,9.32e-06,0.103,0.16,75.003
Dreaming Out Loud,OneRepublic,6yMjABNAwkcxQbMKM6RpjW,0.203,0.359,0,-9.943,1,0.0317,0.498,0.00055,0.0652,0.161,174.405
"Apologize - ""Shock Value"" Version",Timbaland,5qFI1vKY5p82hv39nzMrNl,0.657,0.588,8,-6.005,1,0.0272,0.0252,0.0,0.0871,0.105,118.022
Sleep,OneRepublic,69Ju6N9298O1h9YS9eSUp1,0.222,0.684,2,-5.492,0,0.0378,0.034,0.0004,0.49,0.122,100.07
Come Home,OneRepublic,3FxydY5vf9VNuhButL7cug,0.248,0.311,0,-9.181,1,0.0323,0.934,2.65e-05,0.118,0.303,77.674
Mercy - Radio 1 Live Lounge Session (Duffy cover),OneRepublic,47CGg6PEXA3kwxfXLJJSYW,0.573,0.53,2,-6.008,0,0.0307,0.212,0.0,0.136,0.815,131.103
All Fall Down - Live @ The Orange Lounge,OneRepublic,4Bv36hKG8j75CC17BQetlC,0.419,0.634,11,-7.102,0,0.028,0.659,0.0,0.125,0.358,91.138
All We Are - Live @ The Orange Lounge,OneRepublic,1GfVDtZJJal9ykZdTgXGYf,0.25,0.52,2,-8.045,1,0.0339,0.638,9.65e-06,0.0909,0.125,173.15
Say (All I Need),OneRepublic,5BzZhlqDnYYDr17sciEOjj,0.548,0.742,9,-5.741,1,0.0498,0.0184,0.0,0.153,0.31,122.007
Mercy,OneRepublic,6fvIR1Hhbc1t9wqMcW1olX,0.471,0.849,11,-5.563,1,0.0713,0.015,0.0,0.109,0.196,116.404
Stop And Stare,OneRepublic,0pg4ptWsO9eMH6nEhrM9fD,0.492,0.859,4,-4.274,1,0.0332,0.0659,0.0,0.0756,0.251,92.474
Apologize,OneRepublic,3UhXPxLDFKCj1ZO6mmtV0a,0.593,0.74,8,-6.12,1,0.0339,0.363,2.22e-05,0.102,0.502,118.008
"Goodbye, Apathy",OneRepublic,0Ez05aRvHoRN3Lg8pcPdju,0.48,0.719,9,-8.216,1,0.0295,0.119,0.000337,0.078,0.179,150.064
All Fall Down,OneRepublic,5b7fZxssA2vEbYnF20qjwG,0.502,0.816,7,-4.826,1,0.03,0.241,0.0,0.107,0.419,92.512
Tyrant,OneRepublic,3oeQ2Qlue2Zs23slcfq4my,0.373,0.902,11,-4.459,0,0.0392,0.113,1.32e-05,0.102,0.268,145.147
Prodigal,OneRepublic,0wRldQJdHjPFlJCZytWpmN,0.181,0.488,2,-6.485,1,0.0328,0.567,1.1e-06,0.125,0.221,179.502
Won't Stop,OneRepublic,4d3i3FmlzftJvrRt3zv7Q1,0.384,0.568,6,-7.009,0,0.0278,0.379,0.0,0.122,0.3,91.96
All We Are,OneRepublic,5scATmVtmhc3tkDpR026Da,0.397,0.817,2,-5.495,1,0.042,0.0966,8.16e-06,0.316,0.416,158.004
Someone To Save You,OneRepublic,23qO8NEOpUshGNZ0u29oAX,0.315,0.824,9,-4.143,1,0.0336,0.0309,0.0,0.2,0.692,174.01
Come Home,OneRepublic,348MCvZbnPrsHkxq6w8cif,0.521,0.155,0,-12.147,1,0.0286,0.947,9.32e-06,0.103,0.16,75.003
Dreaming Out Loud,OneRepublic,1P0REdgImAvZ6UqWup88VO,0.203,0.359,0,-9.943,1,0.0317,0.498,0.00055,0.0652,0.161,174.405
"Apologize - ""Shock Value"" Version",Timbaland,3bLLS9gOMwITniB3nMyMnW,0.657,0.588,8,-6.005,1,0.0272,0.0252,0.0,0.087,0.105,118.022
Born Singer,BTS,1IthE5GNiRzFN5CVaCa445,0.602,0.841,8,-3.334,0,0.109,0.0354,0.0,0.235,0.684,157.937
No More Dream,BTS,27S8iOXD7Z58yvJtyk2S9j,0.438,0.864,2,-5.185,1,0.47,0.0118,1.66e-06,0.431,0.594,167.898
N.O,BTS,2GEnvQgSJhedm2sqZlOP8o,0.597,0.909,11,-4.5,0,0.16,0.0443,0.0,0.374,0.564,146.87
Boy In Luv,BTS,0vMk4IrUfSJQkhwZnVX6us,0.492,0.931,9,-3.837,0,0.297,0.00244,0.0,0.353,0.444,166.071
Danger,BTS,0Q53fuiKLGjDKD7Mme7EoQ,0.734,0.848,1,-4.433,1,0.102,0.000913,0.000247,0.256,0.37,112.021
I NEED U,BTS,1GunnGtZCSjLUAPG6yrDUC,0.482,0.858,5,-4.169,0,0.069,0.0218,0.0,0.244,0.737,158.075
RUN,BTS,20Qqyt4bd1oe4KmkTagb2K,0.558,0.856,11,-3.815,0,0.0531,0.00153,0.0,0.0979,0.53,132.89
Burning Up (FIRE),BTS,5cQPIQAF2T1elxWs7EqB9W,0.63,0.668,3,-4.266,0,0.0714,0.00287,0.0,0.125,0.529,99.949
Blood Sweat & Tears,BTS,1wiqEFd8phSCSlteDLSyp2,0.574,0.882,0,-4.08,0,0.121,0.0245,0.0,0.354,0.612,92.994
Spring Day,BTS,4upRoEWkMWhhMfEgPZMFRP,0.538,0.831,8,-3.735,1,0.0353,0.00708,1.96e-06,0.109,0.461,106.993
DNA,BTS,2Ygw4CPjg1lg4zxTITYY2V,0.595,0.754,1,-4.527,0,0.0554,0.0245,0.0,0.0726,0.672,129.951
FAKE LOVE,BTS,3YspylwDrs1LuzPONbKmAL,0.522,0.714,2,-4.727,0,0.0461,0.00257,0.0,0.304,0.357,154.904
IDOL,BTS,0KCvsHmGvW2XcsxEWJvLPr,0.733,0.855,9,-3.211,1,0.118,0.00481,0.0,0.123,0.42,126.035
Boy With Luv (Feat. Halsey),BTS,07qrA1FxZpXy383wX3IDEb,0.645,0.862,11,-4.761,0,0.0845,0.0933,0.0,0.193,0.803,119.947
ON,BTS,0U4hNZFJYNFdEAXZcHbkkc,0.577,0.811,9,-5.146,0,0.117,0.111,0.0,0.346,0.456,105.966
Dynamite,BTS,1hIuSG6xV4RDgD8bDVKP7N,0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0933,0.737,114.044
Life Goes On,BTS,1VjqXwHU3isibdXLEtXc4q,0.576,0.698,1,-6.544,1,0.0369,0.00848,0.0,0.367,0.462,81.028
Butter,BTS,6jjYDGxVJsWS0a5wlVF5vS,0.759,0.459,8,-5.187,1,0.0948,0.00323,0.0,0.0788,0.695,109.997
Yet To Come,BTS,10SRMwb9EuVS1K9rYsBfHQ,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029
Run BTS,BTS,69xohKu8C1fsflYAiSNbwM,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004
